Metadata_Plate,Metadata_Well,Metadata_Assay_Plate_Barcode,Metadata_Plate_Map_Name,Metadata_Batch_Number,Metadata_Batch_Date,Metadata_well_position,Metadata_broad_sample,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_Metadata_broad_sample_type,Metadata_broad_sample_type,Cells_AreaShape_Area,Cells_Intensity_IntegratedIntensity_DNA,Cytoplasm_AreaShape_Area,Cytoplasm_Intensity_IntegratedIntensity_DNA,Nuclei_AreaShape_Area,Nuclei_Intensity_IntegratedIntensity_DNA
SQ00015116,A01,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A01,NA,NA,NA,DMSO,control,control,-0.4587968136755158,-4.431820162387194,-0.37651321101635776,-1.8446283239018502,-2.0703292842673022,-6.133366515382825
SQ00015116,A02,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A02,NA,NA,NA,DMSO,control,control,0.7189564383628879,0.4354207856042265,0.6602247715577076,0.9136881734597221,0.8327871552642214,0.19428413896396157
SQ00015116,A03,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A03,NA,NA,NA,DMSO,control,control,0.23013272798939832,-0.1254199562533709,0.19129041210656722,0.008265443213821843,0.31961184773898654,-0.23494290510651547
SQ00015116,A04,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A04,NA,NA,NA,DMSO,control,control,0.20701809534494192,-2.2665284291637113,0.19315410727618657,-0.9705438791820343,-0.1369930311388525,-3.149315720569665
SQ00015116,A05,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A05,NA,NA,NA,DMSO,control,control,1.0664453358913284,-1.171853640352448,1.0977009782894502,0.6082321392067929,-0.6810300471070012,-2.210008295939784
SQ00015116,A06,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,A06,NA,NA,NA,DMSO,control,control,1.2807107375689397,1.6957398912672423,1.1948987276542464,2.2219552853924363,1.4824918421508655,1.5338387835462273
SQ00015116,B01,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B01,NA,NA,NA,DMSO,control,control,0.8630453432617475,0.17582938592369082,0.8325315533248636,0.6382757224970449,0.3470096046573247,-0.11385467312687153
SQ00015116,B02,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B02,NA,NA,NA,DMSO,control,control,-0.20701809534494192,0.125419956253366,-0.19129041210656722,-0.49725392295620324,-0.807765761416212,0.4339507368001842
SQ00015116,B03,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B03,NA,NA,NA,DMSO,control,control,-0.3347521145589451,0.49136183061143024,-0.32866832936791707,-0.008265443213821843,-0.6679514718461892,0.7843043595650431
SQ00015116,B04,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B04,NA,NA,NA,DMSO,control,control,-0.6455050703640844,-0.17175590632026586,-0.6887567473954828,-0.7107057964561455,0.1369930311388525,0.11385467312687153
SQ00015116,B05,SQ00015116,C-7161-01-LM6-001,2,2016-04-05,B05,NA,NA,NA,DMSO,control,control,-0.7034764485891059,0.8576196883417602,-0.7746587985904536,0.020764927326565978,0.6245633980777544,1.3761826723553487
