variable,median,min,max
Cells_AreaShape_Area,0.7865586127434065,0.7865586127434065,0.7865586127434065
Cells_Intensity_IntegratedIntensity_DNA,-0.17941504006907222,-0.17941504006907222,-0.17941504006907222
Cytoplasm_AreaShape_Area,0.7891247395790678,0.7891247395790678,0.7891247395790678
Cytoplasm_Intensity_IntegratedIntensity_DNA,0.30412514994300593,0.30412514994300593,0.30412514994300593
Nuclei_AreaShape_Area,0.5424966676365272,0.5424966676365272,0.5424966676365272
Nuclei_Intensity_IntegratedIntensity_DNA,-0.0759474379595462,-0.0759474379595462,-0.0759474379595462
