Metadata_Plate,Metadata_Well,Metadata_Assay_Plate_Barcode,Metadata_Plate_Map_Name,Metadata_Batch_Number,Metadata_Batch_Date,Metadata_well_position,Metadata_broad_sample,Metadata_mg_per_ml,Metadata_mmoles_per_liter,Metadata_solvent,Metadata_pert_id,Metadata_pert_mfc_id,Metadata_pert_well,Metadata_pert_id_vendor,Metadata_cell_id,Metadata_broad_sample_type,Metadata_pert_vehicle,Metadata_pert_type,Cells_AreaShape_Area,Cells_Intensity_IntegratedIntensity_DNA,Cytoplasm_AreaShape_Area,Cytoplasm_Intensity_IntegratedIntensity_DNA,Nuclei_AreaShape_Area,Nuclei_Intensity_IntegratedIntensity_DNA
SQ00015117,A01,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,A01,DMSO,0,0,DMSO,NA,NA,A01,,unknown,control,DMSO,control,13532.748966331956,321.33481436847364,10835.967513290017,103.55012943762755,2949.0218546958063,224.85681352438817
SQ00015117,A02,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,A02,DMSO,0,0,DMSO,NA,NA,A02,,unknown,control,DMSO,control,14092.19747140277,311.278205752476,11476.12522576761,105.1443192063844,2864.376881396749,213.0550107067425
SQ00015117,A03,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,A03,DMSO,0,0,DMSO,NA,NA,A03,,unknown,control,DMSO,control,13971.961983471074,328.5465294150338,11222.03691460055,107.45661125173818,3002.378512396694,228.0491710005405
SQ00015117,A04,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,A04,DMSO,0,0,DMSO,NA,NA,A04,,unknown,control,DMSO,control,14404.519134775375,331.85950826823876,11672.658347199113,110.63046931388016,2983.7947864669995,228.29396103941528
SQ00015117,A05,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,A05,DMSO,0,0,DMSO,NA,NA,A05,,unknown,control,DMSO,control,13210.306616460462,320.33666168071437,10504.538999462076,103.90498834741307,2958.0290478752017,223.58710486293862
SQ00015117,A06,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,A06,DMSO,0,0,DMSO,NA,NA,A06,,unknown,control,DMSO,control,14352.800951086956,327.95467671578257,11648.851222826086,110.43792197607732,2954.5991847826085,224.4346787090813
SQ00015117,B01,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,B01,DMSO,0,0,DMSO,NA,NA,B01,,unknown,control,DMSO,control,13413.791179596174,245.17935341478878,10848.683846971308,81.59416948321476,2809.5520722635492,169.1987396242403
SQ00015117,B02,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,B02,DMSO,0,0,DMSO,NA,NA,B02,,unknown,control,DMSO,control,13107.213454729388,312.7824703157723,10506.53616590794,102.56487267781176,2848.252402630248,217.49051442430212
SQ00015117,B03,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,B03,DMSO,0,0,DMSO,NA,NA,B03,,unknown,control,DMSO,control,12641.691959798995,319.08615529107647,10039.7,102.05190957700202,2849.0768844221107,224.4713946357847
SQ00015117,B04,SQ00015117,C-7161-01-LM6-001,2,2016-04-05,B04,DMSO,0,0,DMSO,NA,NA,B04,,unknown,control,DMSO,control,11916.567986230637,316.5104555066911,9347.746987951807,98.55519727925832,2814.897160068847,225.69402903955663
